gene	TCA	Resp	Ribo	Proteas	Hist	HTH
YCR003W	-1	-1	-1	-1	-1	-1
YCR005C	-1	-1	-1	-1	-1	-1
YCR008W	-1	-1	-1	-1	-1	-1
YCR009C	-1	-1	-1	-1	-1	-1
YCR011C	-1	-1	-1	-1	-1	-1
YCR012W	-1	-1	-1	-1	-1	-1
YCR014C	-1	-1	-1	-1	-1	-1
YCR018C	-1	-1	-1	-1	-1	-1
YCR019W	-1	-1	-1	-1	-1	-1
YCR020C	-1	-1	-1	-1	-1	-1
YCR021C	-1	-1	-1	-1	-1	-1
YCR024C	-1	-1	-1	-1	-1	-1
YCR028C	-1	-1	-1	-1	-1	-1
YCR031C	-1	-1	1	-1	-1	-1
YCR032W	-1	-1	-1	-1	-1	-1
YCR034W	-1	-1	-1	-1	-1	-1
YCR035C	-1	-1	-1	-1	-1	-1
YCR036W	-1	-1	-1	-1	-1	-1
YCR037C	-1	-1	-1	-1	-1	-1
YCR038C	-1	-1	-1	-1	-1	-1
YCR039C	-1	-1	-1	-1	-1	1
YCR040W	-1	-1	-1	-1	-1	1
YCR042C	-1	-1	-1	-1	-1	-1
YCR046C	-1	-1	-1	-1	-1	-1
YCR048W	-1	-1	-1	-1	-1	-1
YCR050C	-1	-1	-1	-1	-1	-1
YCR052W	-1	-1	-1	-1	-1	-1
YCR053W	-1	-1	-1	-1	-1	-1
YCR065W	-1	-1	-1	-1	-1	1
YCR066W	-1	-1	-1	-1	-1	-1
YCR067C	-1	-1	-1	-1	-1	-1
YCR069W	-1	-1	-1	-1	-1	-1
YCR071C	-1	-1	-1	-1	-1	-1
YCR075C	-1	-1	-1	-1	-1	-1
YCR081W	-1	-1	-1	-1	-1	-1
YCR084C	-1	-1	-1	-1	-1	-1
YCR088W	-1	-1	-1	-1	-1	-1
YCR089W	-1	-1	-1	-1	-1	-1
YCR092C	-1	-1	-1	-1	-1	-1
YCR093W	-1	-1	-1	-1	-1	-1
YCR094W	-1	-1	-1	-1	-1	-1
YDL002C	-1	-1	-1	-1	-1	-1
YDL004W	-1	1	-1	-1	-1	-1
YDL005C	-1	-1	-1	-1	-1	-1
YDL006W	-1	-1	-1	-1	-1	-1
YDL007W	-1	-1	-1	1	-1	-1
YDL014W	-1	-1	-1	-1	-1	-1
YDL017W	-1	-1	-1	-1	-1	-1
YDL020C	-1	-1	-1	1	-1	-1
YDL021W	-1	-1	-1	-1	-1	-1
YDL029W	-1	-1	-1	-1	-1	-1
YDL030W	-1	-1	-1	-1	-1	-1
YDL040C	-1	-1	-1	-1	-1	-1
YDL042C	-1	-1	-1	-1	-1	-1
YDL043C	-1	-1	-1	-1	-1	-1
YDL044C	-1	-1	-1	-1	-1	-1
YDL045C	-1	-1	-1	-1	-1	-1
YDL047W	-1	-1	-1	-1	-1	-1
YDL048C	-1	-1	-1	-1	-1	-1
YDL049C	-1	-1	-1	-1	-1	-1
YDL052C	-1	-1	-1	-1	-1	-1
YDL056W	-1	-1	-1	-1	-1	-1
YDL058W	-1	-1	-1	-1	-1	-1
YDL059C	-1	-1	-1	-1	-1	-1
YDL061C	-1	-1	1	-1	-1	-1
YDL064W	-1	-1	-1	-1	-1	-1
YDL065C	-1	-1	-1	-1	-1	-1
YDL066W	1	-1	-1	-1	-1	-1
YDL067C	-1	1	-1	-1	-1	-1
YDL069C	-1	-1	-1	-1	-1	-1
YDL075W	-1	-1	1	-1	-1	-1
YDL077C	-1	-1	-1	-1	-1	-1
YDL078C	-1	-1	-1	-1	-1	-1
YDL080C	-1	-1	-1	-1	-1	-1
YDL081C	-1	-1	1	-1	-1	-1
YDL082W	-1	-1	1	-1	-1	-1
YDL083C	-1	-1	1	-1	-1	-1
YDL084W	-1	-1	-1	-1	-1	-1
YDL087C	-1	-1	-1	-1	-1	-1
YDL090C	-1	-1	-1	-1	-1	-1
YDL092W	-1	-1	-1	-1	-1	-1
YDL093W	-1	-1	-1	-1	-1	-1
YDL095W	-1	-1	-1	-1	-1	-1
YDL097C	-1	-1	-1	1	-1	-1
YDL101C	-1	-1	-1	-1	-1	-1
YDL102W	-1	-1	-1	-1	-1	-1
YDL106C	-1	-1	-1	-1	-1	1
YDL107W	-1	-1	-1	-1	-1	-1
YDL108W	-1	-1	-1	-1	-1	-1
YDL111C	-1	-1	-1	-1	-1	-1
YDL116W	-1	-1	-1	-1	-1	-1
YDL120W	-1	-1	-1	-1	-1	-1
YDL122W	-1	-1	-1	-1	-1	-1
YDL126C	-1	-1	-1	-1	-1	-1
YDL127W	-1	-1	-1	-1	-1	-1
YDL128W	-1	-1	-1	-1	-1	-1
YDL130W	-1	-1	1	-1	-1	-1
YDL131W	-1	-1	-1	-1	-1	-1
YDL132W	-1	-1	-1	-1	-1	-1
YDL134C	-1	-1	-1	-1	-1	-1
YDL135C	-1	-1	-1	-1	-1	-1
YDL136W	-1	-1	1	-1	-1	-1
YDL137W	-1	-1	-1	-1	-1	-1
YDL138W	-1	-1	-1	-1	-1	-1
YDL140C	-1	-1	-1	-1	-1	-1
YDL141W	-1	-1	-1	-1	-1	-1
YDL142C	-1	-1	-1	-1	-1	-1
YDL143W	-1	-1	-1	-1	-1	-1
YDL145C	-1	-1	-1	-1	-1	-1
YDL147W	-1	-1	-1	1	-1	-1
YDL150W	-1	-1	-1	-1	-1	-1
YDL153C	-1	-1	-1	-1	-1	-1
YDL154W	-1	-1	-1	-1	-1	-1
YDL155W	-1	-1	-1	-1	-1	-1
YDL160C	-1	-1	-1	-1	-1	-1
YDL164C	-1	-1	-1	-1	-1	-1
YDL165W	-1	-1	-1	-1	-1	-1
YDL170W	-1	-1	-1	-1	-1	-1
YDL171C	-1	-1	-1	-1	-1	-1
YDL174C	-1	-1	-1	-1	-1	-1
YDL179W	-1	-1	-1	-1	-1	-1
YDL181W	-1	-1	-1	-1	-1	-1
YDL182W	-1	-1	-1	-1	-1	-1
YDL184C	-1	-1	1	-1	-1	-1
YDL185W	-1	-1	-1	-1	-1	-1
YDL188C	-1	-1	-1	-1	-1	-1
YDL190C	-1	-1	-1	-1	-1	-1
YDL191W	-1	-1	1	-1	-1	-1
YDL192W	-1	-1	-1	-1	-1	-1
YDL194W	-1	-1	-1	-1	-1	-1
YDL195W	-1	-1	-1	-1	-1	-1
YDL197C	-1	-1	-1	-1	-1	-1
YDL198C	-1	-1	-1	-1	-1	-1
YDL200C	-1	-1	-1	-1	-1	-1
YDL202W	-1	-1	-1	-1	-1	-1
YDL205C	-1	-1	-1	-1	-1	-1
YDL207W	-1	-1	-1	-1	-1	-1
YDL210W	-1	-1	-1	-1	-1	-1
YDL212W	-1	-1	-1	-1	-1	-1
YDL217C	-1	-1	-1	-1	-1	-1
YDL220C	-1	-1	-1	-1	-1	-1
YDL224C	-1	-1	-1	-1	-1	-1
YDL226C	-1	-1	-1	-1	-1	-1
YDL229W	-1	-1	-1	-1	-1	-1
YDL232W	-1	-1	-1	-1	-1	-1
YDL234C	-1	-1	-1	-1	-1	-1
YDL245C	-1	-1	-1	-1	-1	-1
YDR001C	-1	-1	-1	-1	-1	-1
YDR002W	-1	-1	-1	-1	-1	-1
YDR004W	-1	-1	-1	-1	-1	-1
YDR007W	-1	-1	-1	-1	-1	-1
YDR011W	-1	-1	-1	-1	-1	-1
YDR012W	-1	-1	1	-1	-1	-1
YDR017C	-1	-1	-1	-1	-1	-1
YDR019C	-1	-1	-1	-1	-1	-1
YDR021W	-1	-1	-1	-1	-1	-1
YDR022C	-1	-1	-1	-1	-1	-1
YDR023W	-1	-1	-1	-1	-1	-1
YDR025W	-1	-1	1	-1	-1	-1
YDR030C	-1	-1	-1	-1	-1	-1
YDR034C	-1	-1	-1	-1	-1	-1
YDR035W	-1	-1	-1	-1	-1	-1
YDR037W	-1	-1	-1	-1	-1	-1
YDR038C	-1	-1	-1	-1	-1	-1
YDR039C	-1	-1	-1	-1	-1	-1
YDR040C	-1	-1	-1	-1	-1	-1
YDR041W	-1	-1	-1	-1	-1	-1
YDR044W	-1	-1	-1	-1	-1	-1
YDR046C	-1	-1	-1	-1	-1	-1
YDR047W	-1	-1	-1	-1	-1	-1
YDR050C	-1	-1	-1	-1	-1	-1
YDR052C	-1	-1	-1	-1	-1	-1
YDR054C	-1	-1	-1	-1	-1	-1
YDR058C	-1	-1	-1	-1	-1	-1
YDR059C	-1	-1	-1	-1	-1	-1
YDR062W	-1	-1	-1	-1	-1	-1
YDR064W	-1	-1	1	-1	-1	-1
YDR069C	-1	-1	-1	1	-1	-1
YDR072C	-1	-1	-1	-1	-1	-1
YDR073W	-1	-1	-1	-1	-1	-1
YDR074W	-1	-1	-1	-1	-1	-1
YDR075W	-1	-1	-1	-1	-1	-1
YDR076W	-1	-1	-1	-1	-1	-1
YDR079W	-1	-1	-1	-1	-1	-1
YDR080W	-1	-1	-1	-1	-1	-1
YDR081C	-1	-1	-1	-1	-1	-1
YDR082W	-1	-1	-1	-1	-1	-1
YDR085C	-1	-1	-1	-1	-1	-1
YDR086C	-1	-1	-1	-1	-1	-1
YDR087C	-1	-1	-1	-1	-1	-1
YDR088C	-1	-1	-1	-1	-1	-1
YDR092W	-1	-1	-1	-1	-1	-1
YDR097C	-1	-1	-1	-1	-1	-1
YDR106W	-1	-1	-1	-1	-1	-1
YDR110W	-1	-1	-1	-1	-1	-1
YDR113C	-1	-1	-1	-1	-1	-1
YDR118W	-1	-1	-1	-1	-1	-1
YDR120C	-1	-1	-1	-1	-1	-1
YDR123C	-1	-1	-1	-1	-1	-1
YDR125C	-1	-1	-1	-1	-1	-1
YDR127W	-1	-1	-1	-1	-1	-1
YDR129C	-1	-1	-1	-1	-1	-1
YDR135C	-1	-1	-1	-1	-1	-1
YDR139C	-1	-1	-1	-1	-1	-1
YDR142C	-1	-1	-1	-1	-1	-1
YDR143C	-1	-1	-1	-1	-1	-1
YDR144C	-1	-1	-1	-1	-1	-1
YDR145W	-1	-1	-1	-1	-1	-1
YDR146C	-1	-1	-1	-1	-1	-1
YDR148C	1	-1	-1	-1	-1	-1
YDR155C	-1	-1	-1	-1	-1	-1
YDR156W	-1	-1	-1	-1	-1	-1
YDR158W	-1	-1	-1	-1	-1	-1
YDR159W	-1	-1	-1	-1	-1	-1
YDR160W	-1	-1	-1	-1	-1	-1
YDR164C	-1	-1	-1	-1	-1	-1
YDR166C	-1	-1	-1	-1	-1	-1
YDR167W	-1	-1	-1	-1	-1	-1
YDR168W	-1	-1	-1	-1	-1	-1
YDR170C	-1	-1	-1	-1	-1	-1
YDR171W	-1	-1	-1	-1	-1	-1
YDR172W	-1	-1	-1	-1	-1	-1
YDR173C	-1	-1	-1	-1	-1	-1
YDR174W	-1	-1	-1	-1	-1	-1
YDR176W	-1	-1	-1	-1	-1	-1
YDR177W	-1	-1	-1	-1	-1	-1
YDR178W	1	1	-1	-1	-1	-1
YDR181C	-1	-1	-1	-1	-1	-1
YDR182W	-1	-1	-1	-1	-1	-1
YDR184C	-1	-1	-1	-1	-1	-1
YDR188W	-1	-1	-1	-1	-1	-1
YDR189W	-1	-1	-1	-1	-1	-1
YDR191W	-1	-1	-1	-1	-1	-1
YDR192C	-1	-1	-1	-1	-1	-1
YDR194C	-1	-1	-1	-1	-1	-1
YDR195W	-1	-1	-1	-1	-1	-1
YDR197W	-1	-1	-1	-1	-1	-1
YDR204W	-1	-1	-1	-1	-1	-1
YDR207C	-1	-1	-1	-1	-1	-1
YDR211W	-1	-1	-1	-1	-1	-1
YDR212W	-1	-1	-1	-1	-1	-1
YDR216W	-1	-1	-1	-1	-1	-1
YDR217C	-1	-1	-1	-1	-1	-1
YDR224C	-1	-1	-1	-1	1	-1
YDR225W	-1	-1	-1	-1	1	-1
YDR226W	-1	-1	-1	-1	-1	-1
YDR227W	-1	-1	-1	-1	-1	-1
YDR228C	-1	-1	-1	-1	-1	-1
YDR232W	-1	-1	-1	-1	-1	-1
YDR234W	-1	-1	-1	-1	-1	-1
YDR252W	-1	-1	-1	-1	-1	-1
YDR253C	-1	-1	-1	-1	-1	-1
YDR256C	-1	-1	-1	-1	-1	-1
YDR257C	-1	-1	-1	-1	-1	-1
YDR258C	-1	-1	-1	-1	-1	-1
YDR259C	-1	-1	-1	-1	-1	-1
YDR261C	-1	-1	-1	-1	-1	-1
YDR263C	-1	-1	-1	-1	-1	-1
YDR265W	-1	-1	-1	-1	-1	-1
YDR268W	-1	-1	-1	-1	-1	-1
YDR270W	-1	-1	-1	-1	-1	-1
YDR272W	-1	-1	-1	-1	-1	-1
YDR277C	-1	-1	-1	-1	-1	-1
YDR280W	-1	-1	-1	-1	-1	-1
YDR283C	-1	-1	-1	-1	-1	-1
YDR284C	-1	-1	-1	-1	-1	-1
YDR292C	-1	-1	-1	-1	-1	-1
YDR293C	-1	-1	-1	-1	-1	-1
YDR294C	-1	-1	-1	-1	-1	-1
YDR297W	-1	-1	-1	-1	-1	-1
YDR298C	-1	1	-1	-1	-1	-1
YDR299W	-1	-1	-1	-1	-1	-1
YDR300C	-1	-1	-1	-1	-1	-1
YDR301W	-1	-1	-1	-1	-1	-1
YDR304C	-1	-1	-1	-1	-1	-1
YDR308C	-1	-1	-1	-1	-1	-1
YDR309C	-1	-1	-1	-1	-1	-1
YDR310C	-1	-1	-1	-1	-1	-1
YDR311W	-1	-1	-1	-1	-1	-1
YDR321W	-1	-1	-1	-1	-1	-1
YDR322W	-1	-1	-1	-1	-1	-1
YDR323C	-1	-1	-1	-1	-1	-1
YDR329C	-1	-1	-1	-1	-1	-1
YDR331W	-1	-1	-1	-1	-1	-1
YDR337W	-1	-1	-1	-1	-1	-1
YDR341C	-1	-1	-1	-1	-1	-1
YDR342C	-1	-1	-1	-1	-1	-1
YDR343C	-1	-1	-1	-1	-1	-1
YDR345C	-1	-1	-1	-1	-1	-1
YDR347W	-1	-1	-1	-1	-1	-1
YDR349C	-1	-1	-1	-1	-1	-1
YDR351W	-1	-1	-1	-1	-1	-1
YDR353W	-1	-1	-1	-1	-1	-1
YDR354W	-1	-1	-1	-1	-1	-1
YDR356W	-1	-1	-1	-1	-1	-1
YDR362C	-1	-1	-1	-1	-1	-1
YDR363W	-1	-1	-1	-1	-1	-1
YDR364C	-1	-1	-1	-1	-1	-1
YDR369C	-1	-1	-1	-1	-1	-1
YDR375C	-1	-1	-1	-1	-1	-1
YDR377W	-1	1	-1	-1	-1	-1
YDR381W	-1	-1	-1	-1	-1	-1
YDR382W	-1	-1	1	-1	-1	-1
YDR385W	-1	-1	-1	-1	-1	-1
YDR388W	-1	-1	-1	-1	-1	-1
YDR390C	-1	-1	-1	-1	-1	-1
YDR392W	-1	-1	-1	-1	-1	-1
YDR394W	-1	-1	-1	1	-1	-1
YDR397C	-1	-1	-1	-1	-1	-1
YDR399W	-1	-1	-1	-1	-1	-1
YDR404C	-1	-1	-1	-1	-1	-1
YDR405W	-1	-1	-1	-1	-1	-1
YDR406W	-1	-1	-1	-1	-1	-1
YDR408C	-1	-1	-1	-1	-1	-1
YDR414C	-1	-1	-1	-1	-1	-1
YDR418W	-1	-1	1	-1	-1	-1
YDR419W	-1	-1	-1	-1	-1	-1
YDR423C	-1	-1	-1	-1	-1	-1
YDR424C	-1	-1	-1	-1	-1	-1
YDR427W	-1	-1	-1	1	-1	-1
YDR429C	-1	-1	-1	-1	-1	-1
YDR432W	-1	-1	-1	-1	-1	-1
YDR436W	-1	-1	-1	-1	-1	-1
YDR439W	-1	-1	-1	-1	-1	-1
